name;year;rating;image url;sofware;deposits;withdrawal;language;licence;currencies;crypto
32Red Casino;2002;8,18;https://www.askgamblers.com/uploads/casino_logos_overview/casinoreview_logo/95/52/60/7d9df14dcf138430c245205534051ae4c2/32red-casino-logo.png;Microgaming, Big Time Gaming, Just For The Win;Bank Wire Transfer, EcoPayz, MasterCard, PayPal, Visa, Entropay, Skrill, Neteller, Paysafe Card, Klarna, Trustly, Skrill 1-Tap, Instant Bank Transfer;Bank Wire Transfer, MasterCard, PayPal, Visa, Entropay;Chinese, English, German, Italian, Japanese;Gibraltar Regulatory Authority, UK Gambling Commission;EUR, USD, JPY, CHF, CAD, RUB, NOK;
4Kingslots Casino;2019;8,91;https://www.askgamblers.com/uploads/casino_logos_overview/other/a9/eb/8d/4b12750bb8441f0cd2cb5e4a605af459c0/4kings-slots-casino-logo.png;"Betsoft, Xplosive, Elk Studios, Endorphina, Fugaso, Booming Games, GameArt, Habanero, iSoftBet, Slotmotion, Nolimit City, Pragmatic Play, Quickspin, Spinomenal, Tom Horn Gaming, Yggdrasil Gaming, OneTouch Games, Iron Dog Studios, Evolution Gaming, NetEnt, Play&#039;n GO, Amatic Industries, Red Tiger Gaming, Blueprint Gaming, Evoplay Entertainment, Ganapati, Reel Time Gaming, Thunderkick";Visa, MasterCard, Skrill, Neteller, EcoPayz, AstroPay Card, Paysafe Card, Neosurf, Bitcoin, Ethereum, Litecoin, instaDebit, iDebit, Flexepin, Rapid Transfer, Interac, Sofortuberweisung, GiroPay, Trustly;Visa, MasterCard, Skrill, Neteller, EcoPayz, Bitcoin, Ethereum, Litecoin, Bank Wire Transfer, AstroPay Card, Neosurf, instaDebit, iDebit, Rapid Transfer, Interac, Sofortuberweisung, GiroPay, Trustly;English, German;Curacao;EUR, USD, CAD, NOK;
4StarsGames Casino;2019;8,54;https://www.askgamblers.com/uploads/casino_logos_overview/other/17/6b/8d/067c9134e2a3dda276d3e5e54f97144323/4stars-games-casino-logo.png;NetEnt, Evolution Gaming, Bomba Games, Playson, Pragmatic Play, Microgaming, Big Time Gaming, Crazy Tooth Studio, Electric Elephant, Fantasma Games, Foxium, Just For The Win, Rabcat, Lightning Box, 2 By 2 Gaming, Adoptit Publishing, BlaBlaBla Studios, Genesis Gaming, Old Skool Studios, Push Gaming, Sigma Games, Skillzzgaming, Zonelock, 1x2Games, Ainsworth Gaming Technology, Realistic Games;EcoPayz, MasterCard, Neteller, Paysafe Card, Visa, Skrill, Klarna, Interac, AstroPay Card, Trustly, MuchBetter, CashtoCode;Bank Wire Transfer, MasterCard, Neteller, Visa, EcoPayz, Skrill, Interac, AstroPay Card, Trustly, MuchBetter;English, Greek, German, Spanish;Malta Gaming Authority;EUR, USD, CAD;
7 Spins Casino;2008;7,87;https://www.askgamblers.com/uploads/casino_logos_overview/other/fe/93/1b/9ea36f2c59c949ae3bdf74dd0864423924/7-spins-casino-2.png;Microgaming, Parlay, Rival, Betsoft, IGT (WagerWorks), Visionary iGaming, VIVO Gaming, Habanero, Pragmatic Play;American Express, Bank Wire Transfer, EcoPayz, MasterCard, Money Transfer, Neteller, Paysafe Card, Visa, Entropay, iDEAL, Sofortuberweisung, POLi, Neosurf, QIWI, Skrill, AstroPay Card, Bitcoin, WebMoney, AstroPay Direct, Easy EFT, UPayCard, Flexepin, Cashlib;Bank Wire Transfer, Money Transfer, Neteller, EcoPayz, Skrill, Bitcoin, Ethereum;English, German, Portuguese, Spanish, French;Costa Rica;EUR, USD, GBP, AUD, CAD, ZAR, BRL, TND, ARS;
7BitCasino;2014;8,08;https://www.askgamblers.com/uploads/casino_logos_overview/other/3a/6b/d6/fecdaa5dc4f6088cbbf88982eb0828d88e/7bit-casino-2.png;"Betsoft, Play&#039;n GO, iSoftBet, BGAMING, Ezugi, Amatic Industries, Endorphina, GameArt, Habanero, Mr. Slotty, Platipus Gaming, Belatra, Booming Games, Igrosoft, Pragmatic Play, Quickfire, Yggdrasil Gaming, Big Time Gaming, Ainsworth Gaming Technology, 2 By 2 Gaming, 1x2Games, Authentic Gaming, Betgames, BlaBlaBla Studios, Crazy Tooth Studio, Electric Elephant, Evolution Gaming, Fantasma Games, Foxium, Gamevy, Genesis Gaming, Iron Dog Studios, Just For The Win, Microgaming, Lightning Box, NetEnt, NextGen Gaming, PariPlay, Playson, Old Skool Studios, Probability, Quickspin, Realistic Games, Rabcat, Skillzzgaming, Red Rake Gaming, Leap, Thunderkick";Maestro, MasterCard, Neteller, Paysafe Card, Visa, Skrill, Bitcoin, Cubits, Litecoin, Ethereum, Dogecoin, Bitcoin Cash, Rapid Transfer, EcoPayz, Zimpler, Klarna, GiroPay, Interac, Trustly, iDEAL, Sofortuberweisung;Bank Wire Transfer, MasterCard, Neteller, Visa, Skrill, Bitcoin, Cubits, Litecoin, Ethereum, Dogecoin, Bitcoin Cash, Rapid Transfer, EcoPayz, Zimpler, Interac, Trustly, iDEAL;English, Russian, French, German, Finnish, Norwegian;Curacao;EUR, USD, GBP, AUD, NOK;BTC, ETH, BCH, LTC, DOGE
7Reels Casino;2008;7,88;https://www.askgamblers.com/uploads/casino_logos_overview/other/04/6d/72/e7926c2063a15c61ddb59a72b2ae1ff065/7reels-casino-2.png;Microgaming, Parlay, Rival, Betsoft, IGT (WagerWorks), Visionary iGaming, VIVO Gaming, Habanero, Pragmatic Play;American Express, Bank Wire Transfer, EcoPayz, MasterCard, Money Transfer, Neteller, Paysafe Card, Visa, Entropay, iDEAL, Sofortuberweisung, POLi, Neosurf, QIWI, Skrill, AstroPay Card, Bitcoin, WebMoney, AstroPay Direct, Easy EFT, UPayCard, Flexepin, Cashlib;Bank Wire Transfer, Money Transfer, Neteller, EcoPayz, Skrill, Bitcoin, Ethereum;English, German, Spanish, French;Costa Rica;EUR, USD, GBP, AUD, CAD, ZAR, BRL, TND, ARS;
888 Casino - New Jersey;2018;6,55;https://www.askgamblers.com/uploads/casino_logos_overview/other/66/04/c5/29109c8eeec8aad8c6b710ac14b1bce3dd/888-casino-logo-3.png;Random Logic, NetEnt, 888 Gaming, IGT (WagerWorks), WMS, NextGen Gaming, Barcrest Games, Amaya (Chartwell), Betdigital, SG Gaming, Lightning Box, Side City Studios;ACH, MasterCard, Neteller, PayPal, Visa, Online Bank Transfer, PayNearMe;ACH, Neteller, PayPal, Cash;English;New Jersey Casino Control Commission, New Jersey Division of Gaming Enforcement;USD;
888.it Casino;2011;6,33;https://www.askgamblers.com/uploads/casino_logos_overview/other/4a/9b/20/bb6500482b7110eb3c46e54a67eff86973/888-casino-logo.png;NetEnt, 888 Gaming, Merkur Gaming;American Express, Bank Wire Transfer, Kalibra Card, MasterCard, Neteller, PayPal, Paysafe Card, Ukash, Visa, Entropay, Sofortuberweisung, Skrill;Bank Wire Transfer, Kalibra Card, Neteller, PayPal, Visa, Entropay, Skrill;Italian;AAMS Italy;EUR;
888 Casino;1997;4,79;https://www.askgamblers.com/uploads/casino_logos_overview/other/77/76/72/2f14186072e5c0e9ccdaca88a117de7432/888-casino.png;"Playtech, NetEnt, 888 Gaming, IGT (WagerWorks), WMS, NextGen Gaming, Blueprint Gaming, Realistic Games, Red Tiger Gaming, Yggdrasil Gaming, Thunderkick, Lightning Box, Microgaming, Play&#039;n GO, Pragmatic Play, Quickspin, Eyecon, Big Time Gaming, Barcrest Games, Reel Time Gaming";Bank Wire Transfer, EcoPayz, MasterCard, Neteller, PayPal, Paysafe Card, instaDebit, Visa, Sofortuberweisung, Nordea, Boleto, QIWI, Todito Cash, Transferencia Bancaria Local, Trustly, Skrill, AstroPay Card, Wire Transfer, WebMoney, Yandex Money, OP-Pohjola Group, iDebit, Citadel Instant Banking, MuchBetter, Apple Pay, Rapid Transfer, Bitcoin, Interac, iWallet, Online Bank Transfer, oxxo, PurplePay;Bank Wire Transfer, MasterCard, Neteller, PayPal, Visa, Wire Transfer, EcoPayz, QIWI, Skrill, WebMoney, iDebit, MuchBetter, Rapid Transfer, Trustly;Chinese, English, German, Japanese, Portuguese, French, Russian, Spanish, Finnish, Thai;Gibraltar Regulatory Authority, UK Gambling Commission, Malta Gaming Authority;EUR, USD, GBP, CAD;
AceLucky Casino;2016;8,81;https://www.askgamblers.com/uploads/casino_logos_overview/other/ed/08/c1/74d25401aef3c279013a9350648c8c1a37/acelucky-casino-logo.png;Microgaming, NetEnt, Cryptologic (WagerLogic), Nyx Interactive, NextGen Gaming, Leander Games, Quickspin, Rabcat, Thunderkick, Big Time Gaming, Elk Studios, Iron Dog Studios, 1x2Games, Lightning Box, Chance Interactive, Core Gaming, Betdigital, Blueprint Gaming, Gamevy, Games Lab, Extreme Live Gaming, SG Gaming, Genesis Gaming, Skillzzgaming, 2 By 2 Gaming, Games Warehouse, Playson, Inspired, Eyecon, Just For The Win, Tom Horn Gaming, Magnet Gaming, Fugaso, Evolution Gaming, Wazdan, Foxium;Maestro, MasterCard, Neteller, Paysafe Card, instaDebit, Visa, iDEAL, Sofortuberweisung, GiroPay, Euteller, Fast Bank Transfer, QIWI, Trustly, Skrill, WebMoney, Pay by Phone, PayPal, Zimpler, EcoPayz;Bank Wire Transfer, Maestro, MasterCard, Neteller, Paysafe Card, Visa, Euteller, Skrill, Trustly, EcoPayz, QIWI, Fast Bank Transfer, WebMoney;English, German;Malta Gaming Authority, UK Gambling Commission;EUR, USD, GBP, AUD, CAD;
AHTI Games Casino;2018;8,93;https://www.askgamblers.com/uploads/casino_logos_overview/other/92/2f/3d/5a6bc1aabdb2987a5415a4dff5991a9b46/ahti-games-casino-logo.png;"RTG, Microgaming, NetEnt, Evolution Gaming, Nyx Interactive, Bally, Play&#039;n GO, WMS, NextGen Gaming, Realistic Games, Blueprint Gaming, Barcrest Games, Aristocrat, Genesis Gaming, Novomatic, Yggdrasil Gaming, Rabcat, Merkur Gaming, XPro Gaming, Thunderkick, 2 By 2 Gaming, Big Time Gaming, SG Gaming, Lightning Box, GameArt, Gamomat, Sigma Games, Foxium, Just For The Win, Grand Vision Gaming (GVG), Old Skool Studios, Shuffle Master, BlaBlaBla Studios, Bally Wulff, EGT Interactive, Elk Studios, SkillOnNet, Ganapati, IGT (WagerWorks), Red Tiger Gaming, Reel Time Gaming, Slingo, Stakelogic";Bank Wire Transfer, EcoPayz, MasterCard, Neteller, PayPal, Paysafe Card, Visa, Sofortuberweisung, Fast Bank Transfer, Trustly, Skrill, Bitcoin, Zimpler, EnterCash, Entropay, Siru Mobile, Instant Bank Transfer;Bank Wire Transfer, MasterCard, Neteller, PayPal, Paysafe Card, Visa, Sofortuberweisung, EcoPayz, Fast Bank Transfer, Skrill, Bitcoin, Trustly, Zimpler, Cubits, Entercash, Entropay, Euteller, Wire Transfer, Instant Bank Transfer;English, Finnish, German, Swedish;Malta Gaming Authority, UK Gambling Commission, Danish Gambling Authority, Swedish Gambling Authority;EUR, USD, GBP, AUD, CHF, CAD, SEK, ZAR, RUB, NOK, DKK;
Alf Casino;2018;8,69;https://www.askgamblers.com/uploads/casino_logos_overview/other/3f/4b/d3/bc1e12a7ffee881adbe02bca5132b8ed0f/alf-casino-3.png;"Microgaming, NetEnt, Evolution Gaming, Betsoft, iSoftBet, PariPlay, Quickspin, Yggdrasil Gaming, Igrosoft, Ezugi, Amatic Industries, EGT Interactive, Elk Studios, Endorphina, GameArt, Push Gaming, Habanero, Pragmatic Play, Nolimit City, Red Tiger Gaming, Red Rake Gaming, BGAMING, Booongo Gaming, Casino Technology, Pocket Games Soft, SA Gaming, Play&#039;n GO, Relax Gaming, Spinomenal, Tom Horn Gaming, Wazdan";Carte Bleue, EcoPayz, MasterCard, Neteller, Paysafe Card, Visa, Entropay, Nordea, GiroPay, EPS, Dankort, Boleto, SampoPankki, CartaSi, Euteller, Neosurf, Bancontact/Mister Cash, Multibanco, QIWI, Trustly, Skrill, Siru Mobile, WebMoney, Yandex Money, EnterCash, Suomen Verkkomaksut, Danske Bank, OP-Pohjola Group, Payeer, Megafone, MTC, Sepa, Zimpler, PaySec, Rapid Transfer, Klarna, Carte Bancaire, Payshop, Sparbanken, Alfa Click, Moneta;Neteller, Visa, Nordea, SampoPankki, EcoPayz, Swedbank, SEB Pank, Euteller, QIWI, Instant Bank, Skrill, WebMoney, Yandex Money, OP-Pohjola Group, Payeer, Entercash, PaySec, Sparbanken, Suomen Verkkomaksut;English;Curacao;EUR, JPY, CAD, CNY, NZD, TRY, RUB, NOK, PLZ, HUF;
All British Casino;2013;8,72;https://www.askgamblers.com/uploads/casino_logos_overview/casinoreview_logo/95/26/45/b56fca86248f9bfc27e5e1b344ccbb32d1/all-british-casino-logo-update.png;Microgaming, NetEnt, Evolution Gaming, Bally, IGT (WagerWorks), WMS, NextGen Gaming, Blueprint Gaming, Barcrest Games, Novomatic, Thunderkick, Amatic Industries, Big Time Gaming, Elk Studios, SG Gaming, Just For The Win, Slingo;Bank Wire Transfer, MasterCard, Neteller, Paysafe Card, Visa, Skrill, Boku;Bank Wire Transfer, MasterCard, Neteller, Visa, Skrill;English;Malta Gaming Authority, UK Gambling Commission;GBP;
All Slots Casino;2002;7,91;https://www.askgamblers.com/uploads/casino_logos_overview/other/22/02/86/90948cc873f921bc1f4c437b840e532fbb/all-slots-casino.png;Microgaming;Bank Wire Transfer, ClickandBuy, EcoPayz, MasterCard, Money Transfer, Neteller, Paysafe Card, Postepay, Ukash, Visa, Entropay, Sofortuberweisung, POLi, Diners Club International, eChecks, Skrill;ClickandBuy, ECO Card, MasterCard, Neteller, Postepay, Ukash, Visa, Entropay, EZIPay, Skrill, Skrill;English, German, French;Malta Gaming Authority;EUR, USD, GBP, AUD, CHF, CAD;
